,Unnamed: 0,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
91,150,  The Final (I),2010,5.3,/title/tt1390535/,1000000.0,28491.0,-971509.0,2013-02-07,2.0
92,151,  Dante's Inferno: An Animated Epic,2010,6.5,/title/tt1401113/,,,,2010-02-09,2.0
93,152,  The Crazies,2010,6.5,/title/tt0455407/,20000000.0,54806823.0,34806823.0,2010-02-26,2.0
94,153,  Birdemic: Shock and Terror,2010,1.7,/title/tt1316037/,10000.0,,,2010-02-27,2.0
95,154,  A Serbian Film,2010,5.0,/title/tt1273235/,,1541.0,,2010-06-16,6.0
96,155,  6 Souls,2010,6.0,/title/tt1179069/,22000000.0,3205167.0,-18794833.0,2013-03-01,3.0
97,156,  Dream Home,2010,6.6,/title/tt1407972/,,383158.0,,2010-05-13,5.0
98,157,  A Nightmare on Elm Street,2010,5.2,/title/tt1179056/,35000000.0,115695182.0,80695182.0,2010-04-30,4.0
99,158,  I Spit on Your Grave,2010,6.2,/title/tt1242432/,2000000.0,1278650.0,-721350.0,2010-06-17,6.0
100,159,  Chatroom,2010,5.4,/title/tt1319704/,,683912.0,,2010-12-22,12.0
101,160,  Bedevilled,2010,7.3,/title/tt1646959/,700000.0,1129687.0,429687.0,2010-09-02,9.0
102,161,  Rubber,2010,5.7,/title/tt1612774/,500000.0,101729.0,-398271.0,2010-11-10,11.0
103,162,  La casa muda,2010,5.3,/title/tt1646973/,6000.0,1149327.0,1143327.0,2011-03-04,3.0
104,163,  The Reef,2010,5.8,/title/tt1320291/,,67753.0,,2011-03-17,3.0
105,164,  Black Death,2010,6.4,/title/tt1181791/,,382879.0,,2010-06-11,6.0
106,165,  The Last Exorcism,2010,5.7,/title/tt1320244/,1800000.0,69432527.0,67632527.0,2010-08-27,8.0
107,166,  Bereavement,2010,5.0,/title/tt1100051/,3600000.0,43712.0,-3556288.0,2010-07-16,7.0
108,167,  The Clinic (II),2010,5.3,/title/tt1345772/,,,,2012-07-25,7.0
109,168,  The Shrine,2010,5.5,/title/tt1341710/,1125000.0,102344.0,-1022656.0,2010-10-14,10.0
110,169,  Rare Exports,2010,6.6,/title/tt1401143/,2025920.0,4087363.0,2061443.0,2010-12-03,12.0
111,170,  Burning Bright,2010,5.8,/title/tt1244658/,,58147.0,,2012-05-02,5.0
112,171,  Vampires Suck,2010,3.4,/title/tt1666186/,20000000.0,80547866.0,60547866.0,2010-08-18,8.0
113,172,  Piranha 3D,2010,5.5,/title/tt0464154/,24000000.0,83188165.0,59188165.0,2010-08-20,8.0
114,175,  Primal,2010,4.8,/title/tt1438534/,,,,2010-09-23,9.0
115,176,  The Tortured,2010,5.4,/title/tt1017464/,8500000.0,319421.0,-8180579.0,2012-09-28,9.0
116,177,  The Dead,2010,5.7,/title/tt1386925/,,4891.0,,2011-10-01,10.0
117,178,  Resident Evil: Afterlife,2010,5.8,/title/tt1220634/,60000000.0,300228084.0,240228084.0,2010-09-10,9.0
118,179,  The Last Circus,2010,6.5,/title/tt1572491/,7280000.0,3604598.0,-3675402.0,2010-12-17,12.0
119,180,  Los ojos de Julia,2010,6.7,/title/tt1512685/,5200000.0,16934369.0,11734369.0,2010-10-29,10.0
120,181,  Vanishing on 7th Street,2010,4.9,/title/tt1452628/,10000000.0,1671196.0,-8328804.0,2011-02-05,2.0
121,182,  Let Me In (I),2010,7.1,/title/tt1228987/,20000000.0,27093592.0,7093592.0,2010-10-01,10.0
122,183,  The Ward,2010,5.5,/title/tt1369706/,10000000.0,5343820.0,-4656180.0,2011-07-08,7.0
123,184,  Insidious (I),2010,6.8,/title/tt1591095/,1500000.0,100106454.0,98606454.0,2011-04-01,4.0
124,185,  Devil,2010,6.3,/title/tt1314655/,10000000.0,62695489.0,52695489.0,2010-09-17,9.0
125,186,  Stake Land,2010,6.4,/title/tt1464580/,650000.0,405380.0,-244620.0,2011-06-17,6.0
126,187,  Chain Letter,2010,4.1,/title/tt1148200/,3000000.0,855185.0,-2144815.0,2010-11-11,11.0
127,188,  Mother's Day (I),2010,6.2,/title/tt1434435/,11000000.0,863044.0,-10136956.0,2011-05-05,5.0
128,189,  Kidnapped,2010,6.4,/title/tt1629377/,,969024.0,,2011-02-25,2.0
129,190,  Altitude,2010,4.8,/title/tt1407049/,,,,2010-10-10,10.0
130,191,  My Soul to Take,2010,4.7,/title/tt0872230/,25000000.0,21500813.0,-3499187.0,2010-10-08,10.0
131,192,  We Are the Night,2010,6.2,/title/tt1692504/,6760000.0,2405336.0,-4354664.0,2010-10-28,10.0
132,193,  Atrocious,2010,5.0,/title/tt1734067/,,4472.0,,2011-08-17,8.0
133,194,  Paranormal Activity 2,2010,5.7,/title/tt1536044/,3000000.0,177512032.0,174512032.0,2010-10-22,10.0
134,195,  Saw 3D,2010,5.5,/title/tt1477076/,20000000.0,136151680.0,116151680.0,2010-10-29,10.0
135,196,  Trollhunter,2010,6.9,/title/tt1740707/,1990000.0,5341098.0,3351098.0,2010-10-29,10.0
136,197,  Saint,2010,5.6,/title/tt1167675/,,3797890.0,,2011-12-18,12.0
137,198,  Don't Be Afraid of the Dark,2010,5.5,/title/tt1270761/,25000000.0,38269529.0,13269529.0,2011-08-26,8.0
138,199,  Victim (I),2010,5.9,/title/tt0918575/,1000000.0,,,2010-11-17,11.0
139,200,  Paranormal Activity 2: Tokyo Night,2010,5.1,/title/tt1728179/,,475320.0,,2010-11-20,11.0
140,201,  Gantz,2010,6.4,/title/tt1525835/,22000000.0,40568961.0,18568961.0,2011-01-29,1.0
141,202,  Beyond the Black Rainbow,2010,5.9,/title/tt1534085/,825000.0,56491.0,-768509.0,2011-04-22,4.0
142,203,  And Soon the Darkness,2010,5.1,/title/tt1391034/,,177182.0,,2017-03-27,3.0
143,204,  Dylan Dog: Dead of Night,2010,5.1,/title/tt1013860/,20000000.0,5782515.0,-14217485.0,2011-04-29,4.0
144,205,  Hobo with a Shotgun,2011,6.1,/title/tt1640459/,3000000.0,748453.0,-2251547.0,2011-05-12,5.0
145,206,  Silent House,2011,5.2,/title/tt1767382/,2000000.0,16527747.0,14527747.0,2012-03-09,3.0
146,207,  Red State,2011,6.1,/title/tt0873886/,4000000.0,1874460.0,-2125540.0,2011-09-30,9.0
147,208,  The Woman (I),2011,6.0,/title/tt1714208/,,1449.0,,2011-08-18,8.0
148,209,  Take Shelter,2011,7.3,/title/tt1675192/,5000000.0,3741098.0,-1258902.0,2011-11-10,11.0
149,210,  The Rite,2011,6.0,/title/tt1161864/,37000000.0,96560591.0,59560591.0,2011-01-28,1.0
150,211,  Quarantine 2: Terminal,2011,5.2,/title/tt1699231/,4000000.0,,,2011-06-17,6.0
151,212,  Husk,2011,5.1,/title/tt1504403/,382262.0,,,2011-11-24,11.0
152,213,  Seconds Apart,2011,5.6,/title/tt1601475/,,1137.0,,2011-07-07,7.0
153,214,  The Roommate (I),2011,4.8,/title/tt1265990/,16000000.0,40492652.0,24492652.0,2011-02-04,2.0
154,215,  The Resident,2011,5.3,/title/tt1334102/,20000000.0,6742156.0,-13257844.0,2011-03-11,3.0
155,216,  Absentia (I),2011,5.8,/title/tt1610996/,70000.0,8555.0,-61445.0,2013-04-11,4.0
156,217,  Red Riding Hood,2011,5.4,/title/tt1486185/,42000000.0,90260376.0,48260376.0,2011-03-11,3.0
157,218,  The Innkeepers,2011,5.5,/title/tt1594562/,750000.0,1178831.0,428831.0,2011-03-12,3.0
158,219,  Kill List,2011,6.4,/title/tt1788391/,605000.0,450275.0,-154725.0,2011-09-02,9.0
159,220,  The Divide,2011,5.8,/title/tt1535616/,3000000.0,145676.0,-2854324.0,2012-04-20,4.0
160,221,  Detention,2011,5.6,/title/tt1701990/,10000000.0,,,2012-04-13,4.0
161,222,  Hellraiser: Revelations,2011,2.7,/title/tt1716747/,350000.0,,,2011-10-18,10.0
162,223,  Scream 4,2011,6.2,/title/tt1262416/,40000000.0,97231420.0,57231420.0,2011-04-15,4.0
163,224,  The Caller,2011,6.0,/title/tt1525890/,,229746.0,,2013-02-22,2.0
164,225,  Grave Encounters,2011,6.1,/title/tt1703199/,75000.0,4055919.0,3980919.0,2011-09-09,9.0
165,226,  Priest,2011,5.7,/title/tt0822847/,60000000.0,78309505.0,18309505.0,2011-05-13,5.0
166,227,  Deadheads,2011,5.3,/title/tt1273207/,,,,2011-04-29,4.0
167,229,  BloodRayne: The Third Reich,2011,3.0,/title/tt1153546/,10000000.0,,,2012-03-17,3.0
168,230,  Guilty of Romance,2011,6.8,/title/tt1743724/,,246091.0,,2011-11-12,11.0
169,231,  The Skin I Live In,2011,7.6,/title/tt1189073/,10403030.56,33716389.0,23313358.44,2011-09-02,9.0
170,232,  The Tunnel (I),2011,5.8,/title/tt1735485/,135000.0,1532.0,-133468.0,2011-05-19,5.0
171,233,  Hell,2011,5.9,/title/tt1643222/,,1359257.0,,2012-07-10,7.0
172,234,  Murder 2,2011,6.3,/title/tt1918965/,,9078349.0,,2011-07-08,7.0
173,235,  Retreat (I),2011,5.8,/title/tt1410051/,,4498.0,,2012-04-26,4.0
174,236,  Hollow (I),2011,5.4,/title/tt1869470/,,,,2013-02-19,2.0
175,237,  Final Destination 5,2011,5.9,/title/tt1622979/,40000000.0,157887643.0,117887643.0,2011-08-12,8.0
176,238,  Fright Night,2011,6.4,/title/tt1438176/,30000000.0,41002607.0,11002607.0,2011-08-19,8.0
177,239,  Vile,2011,4.9,/title/tt1711018/,,,,2012-07-24,7.0
178,241,  Inbred,2011,5.3,/title/tt1723124/,1512500.0,24.0,-1512476.0,2012-09-21,9.0
179,242,  Shark Night,2011,4.0,/title/tt1633356/,25000000.0,41363927.0,16363927.0,2011-09-02,9.0
180,243,  Apollo 18,2011,5.2,/title/tt1772240/,5000000.0,26236153.0,21236153.0,2011-09-02,9.0
181,244,  247°F,2011,4.8,/title/tt1877543/,650000.0,,,2011-09-01,9.0
182,245,  The Moth Diaries,2011,4.9,/title/tt1407065/,,413035.0,,2012-05-17,5.0
183,246,  Juan of the Dead,2011,6.4,/title/tt1838571/,,324834.0,,2012-01-13,1.0
184,247,  You're Next,2011,6.6,/title/tt1853739/,1000000.0,26895481.0,25895481.0,2013-08-23,8.0
185,249,  Twixt,2011,4.7,/title/tt1756851/,7000000.0,647839.0,-6352161.0,2012-04-11,4.0
186,250,  Intruders (I),2011,5.4,/title/tt1634121/,10400000.0,5486559.0,-4913441.0,2011-10-07,10.0
187,251,  Lovely Molly,2011,5.3,/title/tt1707392/,1000000.0,638274.0,-361726.0,2012-06-29,6.0
188,252,  The Awakening (I),2011,6.4,/title/tt1687901/,3630000.0,6879667.0,3249667.0,2011-11-11,11.0
189,253,  The Day (I),2011,5.2,/title/tt1756799/,,80848.0,,2012-09-20,9.0
190,254,  The Hidden Face,2011,7.3,/title/tt1772250/,2600000.0,6318409.0,3718409.0,2011-09-16,9.0
191,256,  Sleep Tight,2011,7.2,/title/tt1437358/,5000000.0,8791590.0,3791590.0,2011-10-14,10.0
192,257,  The Monitor,2011,5.7,/title/tt1595833/,2500000.0,1417397.0,-1082603.0,2011-10-07,10.0
193,258,  The Thing (I),2011,6.2,/title/tt0905372/,38000000.0,31505287.0,-6494713.0,2011-10-14,10.0
